Location Name,Impressions
BR1,0
BR2,0
BR3,0
BR4,0
BR5,0
BR7,0
CR0,1
CR2,1
CR4,1
CR7,0
CR8,0
DA16,0
DA17,0
DA6,4
DA7,0
DA8,0
E1,1
E10,0
E11,2
E12,2
E13,5
E14,0
E15,1
E16,1
E17,1
E18,1
E1W,0
E2,0
E20,0
E3,0
E4,0
E5,0
E6,2
E7,2
E8,0
E9,3
EN1,0
EN3,0
Greater London,0
HA0,1
HA1,0
HA2,0
HA3,0
HA4,0
HA5,0
HA7,0
HA8,2
HA9,0
IG1,2
IG11,0
IG2,0
IG3,1
IG6,0
KT1,0
KT2,0
KT3,0
KT4,1
KT5,0
N1,0
N10,0
N11,0
N12,0
N13,0
N14,0
N15,8
N16,1
N17,1
N18,0
N19,0
N2,0
N20,0
N21,0
N22,0
N3,3
N4,4
N5,2
N6,0
N7,0
N8,0
N9,0
NW1,2
NW10,6
NW11,0
NW2,1
NW3,0
NW4,1
NW5,0
NW6,0
NW7,0
NW8,0
NW9,1
RM1,4
RM10,0
RM11,0
RM12,0
RM13,0
RM3,0
RM6,0
RM7,0
RM8,0
RM9,0
SE1,17
SE10,0
SE11,0
SE12,0
SE13,0
SE14,0
SE15,1
SE16,1
SE17,0
SE18,1
SE19,0
SE2,0
SE20,0
SE21,0
SE22,0
SE23,1
SE24,0
SE25,0
SE26,1
SE27,0
SE28,0
SE3,1
SE4,0
SE5,0
SE6,0
SE7,0
SE8,0
SE9,1
SM1,0
SM3,0
SM4,0
SM5,0
SM6,0
SW10,0
SW11,0
SW12,0
SW13,0
SW14,0
SW15,0
SW16,0
SW17,1
SW18,0
SW19,2
SW1A,0
SW1P,0
SW1V,0
SW2,0
SW20,0
SW3,0
SW4,1
SW6,0
SW7,0
SW8,0
SW9,0
TW1,0
TW10,0
TW11,0
TW12,0
TW13,1
TW14,1
TW2,0
TW3,0
TW4,0
TW5,0
TW6,4
TW7,0
TW8,0
TW9,0
UB1,1
UB10,0
UB11,0
UB2,0
UB3,0
UB4,0
UB5,0
UB6,0
UB7,0
UB8,0
W10,0
W11,0
W12,2
W13,1
W14,0
W2,0
W3,0
W4,0
W5,0
W6,0
W7,1
W8,0
W9,0
