Word,Cost,Clicks,Impressions,Conversions,Top Containing Queries
london,US$9.72,7,64,0.00,"(cleaning london, cleaning service in london, cleaning services in london)"
cleaning,US$8.77,6,47,0.00,"(cleaning london, cleaning service in london, cleaning services in london)"
in london,US$3.63,2,17,0.00,"(cleaning service in london, cleaning services in london, cleaning agency in london)"
services,US$1.06,1,16,0.00,"(cleaning services in london, deep clean services london, cleaning services london)"
deep,US$0.00,0,11,0.00,"(deep clean service london, deep clean services london, one off deep clean london)"
deep clean,US$0.00,0,8,0.00,"(deep clean service london, deep clean services london, one off deep clean london)"
house,US$0.00,0,7,0.00,"(house cleaning services in london, london house cleaners, house cleaning london)"
service,US$0.00,0,7,0.00,"(cleaning service in london, deep clean service london, best cleaning service london)"
cleaners,US$0.00,0,6,0.00,"(london house cleaners, carpet cleaners in london, carpet cleaners london)"
home cleaning,US$0.99,1,5,0.00,"(home cleaning london, home cleaning companies london, home cleaning services in london)"
cleaning company,US$0.00,0,4,0.00,"(cleaning company in london, cleaning company london, london cleaning company)"
cleaning agency,US$2.57,1,4,0.00,"(cleaning agency in london, cleaning agency london)"
office,US$0.00,0,3,0.00,(office cleaning london)
cleaning companies,US$0.00,0,3,0.00,"(london cleaning companies, home cleaning companies london)"
carpet,US$0.00,0,3,0.00,"(carpet cleaners in london, carpet cleaners london, carpet cleaning london)"
best,US$0.00,0,2,0.00,"(best cleaning service london, best deep cleaning services london)"
same,US$0.00,0,2,0.00,(same day cleaning london)
day,US$0.00,0,2,0.00,(same day cleaning london)
one,US$0.00,0,2,0.00,(one off deep clean london)
agencies,US$3.21,2,2,0.00,(cleaning agencies london)
off,US$0.00,0,2,0.00,(one off deep clean london)
housekeeper,US$0.00,0,1,0.00,(housekeeper in london)
professional,US$0.00,0,1,0.00,(professional cleaners in london)
of,US$0.00,0,1,0.00,(end of tenancy cleaning london)
end,US$0.00,0,1,0.00,(end of tenancy cleaning london)
maid,US$0.00,0,1,0.00,(maid in london cleaning)
keeping,US$0.00,0,1,0.00,(london house keeping)
cleaner,US$0.95,1,1,0.00,(cleaner london)
tenancy,US$0.00,0,1,0.00,(end of tenancy cleaning london)
specialist,US$0.94,1,1,0.00,(specialist cleaning london)
